wdym	what do you mean
idk	I don't know
ikr	I know, right?
imo	in my opinion
imho	in my humble opinion
btw	by the way
asap	as soon as possible
fyi	for your information
omw	on my way
brb	be right back
ttyl	talk to you later
thx	thanks
pls	please
plz	please
np	no problem
yw	you're welcome
rn	right now
tmrw	tomorrow
bc	because
coz	because
msg	message
eta	estimated time of arrival
irl	in real life
dm	direct message
faq	frequently asked questions
aka	also known as
eod	end of day
lol	laughing out loud
lmao	laughing my ass off
omg	oh my god
wtf	what the heck
fwiw	for what it's worth
ngl	not gonna lie
smh	shaking my head
wyd	what are you doing
howdy	how are you doing
cul8r	see you later
